lon,lat,Afternoon,Morning,Evening,StationName
104.2029304,30.56622309,36,42,37,
104.2029588,30.56697832,35,30,34,
104.2021982,30.56757559,34,30,31,
104.2029295,30.56785473,29,30,30,
104.2038034,30.56827981,35,33,32,
104.205853,30.56816022,39,38,40,
104.2048864,30.56753185,39,35,34,
104.2045288,30.56674332,35,34,34,
104.2037867,30.56723049,34,31,31,
104.2035252,30.56667796,42,31,34,
104.2052186,30.56589094,58,56,53,
104.2062285,30.56775636,59,57,49,
104.2070537,30.56924905,59,56,51,
