lon,lat,Afternoon,Morning,Evening,StationName
104.2015415,30.57112439,40,33,29,尚美楼出口与道路交叉口
104.2006691,30.57155952,36,37,27,尚美楼旁交叉口大巴旁
104.2002944,30.5720705,40,33,27,校医院停车场
104.1997258,30.57216444,43,34,29,校幼儿园门口
104.1987398,30.57174534,50,40,33,第二操场东北处道路交叉口
104.1984508,30.57252674,47,37,30,校幼儿园西南处交叉口
104.1971693,30.57248539,48,45,34,第一、二操场出口交叉处
104.196305,30.57259714,44,34,35,烂尾楼停车处
104.1959026,30.57318392,43,36,32,烂尾楼西部入口
104.1955943,30.57460053,49,46,47,北辰门出口道路交叉口
104.1945425,30.57414642,53,56,41,校外草地/北辰门公路上部
104.194853,30.57360456,48,39,37,校外草地中点
104.1947795,30.57303236,52,41,33,校外草地下点
104.1945676,30.57213781,52,51,39,西辉门出口道路交叉口
104.1950375,30.57231068,50,49,40,西辉门公交车停车场
104.1982007,30.57310128,48,30,31,幼儿园至小区口上部
104.1974716,30.57341266,36,39,28,幼儿园至小区口中部
104.196933,30.57365768,46,35,32,幼儿园至小区口下部
104.1943664,30.57354857,56,55,47,北辰门公路中部
104.1943108,30.57299019,58,56,48,北辰门公路下部
