lon,lat,Afternoon,Morning,Evening,StationName
104.1984,30.56949392,46,45,48,第二操场东南角
104.1974934,30.56987054,45,55,47,第二操场第三操场交界处
104.1958024,30.5691683,47,51,57,食堂门口
104.1950484,30.56992844,48,47,46,食堂西北角
104.1954366,30.57066259,45,53,45,四川师范大学再生资源分类回收中心
104.1988393,30.57147303,44,44,48,通往西辉门的三岔口
104.194287,30.57200469,55,63,55,西辉门外车道
104.1940234,30.57067346,52,54,50,太平洋影院斜对面岔口
104.194356,30.56938766,49,47,47,西岑门外
104.1960423,30.57105574,48,47,47,篮球场与第三运动场之间
104.1972281,30.57095669,47,52,44,运动馆门前
104.1976527,30.57143702,33,51,45,第二操场西北角
104.1987002,30.57140268,35,43,45,第二操场东北角
104.1982536,30.57007233,40,49,42,第二操场南
104.1981295,30.57081149,43,51,44,第二操场中心
104.1968212,30.57157524,47,45,50,第三操场北
104.1967015,30.56987119,42,48,44,第三操场南
